barrio industrial con muchas fábricas	industrial neighbourhood with loads of factories
hay mucho paro	there is a lot of unemployment
la autopista	motorway
el puerto pesquero	a fishing port
pintoresco	picturesque
calles estrechas	narrow streets
todo está cerrado	everything is closed
hacer falta	to be needed
mi barrio está en	my town is in
las afueras	the outskirts
antes había mucha industria	before there used to be lots of industry
un barrio obrero	working-class neighborhood
no está muy limpio	it's not very clean
hay mucho tráfico	there's lots of traffic
ruido	noise
un barrio de clase alta	a upper-class neighbourhood
hay bastante polución	there's quite a lot of pollution
es un poco peligroso	it's a bit dangerous
hay cámaras de seguridad en algunas calles	there is CCTV in some streets
no hay mucho que hacer para los jóvenes	there's not much to do for young people
lo bueno es que	the good thing is that
van a construir	they are going to build
lo que me gusta de mi barrio es que	what I like about my town is that
lo que necesitamos también es	what we also need is
una zona peatonal	a pedestrian zone
lo más importante	the most important thing
lugares verdes	green areas
hay mucho turismo aquí	there's lots of tourism here
hay playas muy cerca	there are beaches very close by
las calles son estrechas	the streets are narrow
tiendas turísticas	tourist shops
un mercado de artesanía	a craft market
los jueves	on Thursdays
lo malo de mi barrio es que	the bad thing about my town is that
en invierno es aburrido	in winter it's boring
no hay nada que hacer	there's nothing to do
está lejos	it's far away
no hay autobuses	there are no buses
hacen falta instalaciones	facilities are needed
para los jóvenes	for young people
una red de transporte suficiente	an efficient transport system
está lleno de basura	it's full of rubbish
sucio	dirty
había	there used to be
ahora está cerrado	it's closed now
hay muchas pintadas	graffiti
hay mucho crimen	there's a lot of crime
hay mucha droga en las calles	there are lots of drugs in the streets
la zona es peligrosa	the area is dangerous
para mejorarlo	in order to improve it
lo que necesitamos es dinero	what we need is money
pequeños negocios	small businesses
fue construido hace diez años	it was built ten years ago
en las esquinas	on the street corners
es un lugar ideal para las familias	it's an ideal place for families
la basura en las calles es lo que no me gusta	the rubbish in the streets is what I don't like
se puede esquiar en invierno	you can ski in winter
se puede disfrutar de las vistas	you can enjoy the views
un plano de la ciudad	a map of the city
visitas guiadas	guided tours
merece la pena	it's worthwhile
a primera hora hace menos calor	first thing it's cooler
es gratis	it's free
puedes bajar al río	you can go down to the river
